id,language,title,artist,genre,cluster_pca,cluster_vae
bn_bangla_songs_1121,bn,আমায় পাগল করল শ্যাম কালিয়া রুপে আমায়,,ফোক গান,0,0
bn_bangla_songs_3738,bn,যাসনে মা ফিরে যাসনে জননী,,নজরুলগীতি,0,0
bn_bangla_songs_2469,bn,গানে তোমায় আজ ভোলাবো,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_6150,bn,চাহিয়া দেখো রসের স্রোতে রঙের খেলাখানি,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_99,en,You Oughta Know - 2015 Remaster,Alanis Morissette,,1,1
bn_bangla_songs_6928,bn,অবাক হৃদয় নিয়ে থমকে আছি আমি,,আধুনিক বাংলা গান,0,0
en_english_songs_670,en,21 Reasons (feat. Ella Henderson),Nathan Dawe,,1,1
en_english_songs_440,en,Search & Rescue,Drake,,1,1
bn_bangla_songs_1565,bn,যমুনার জলে সখী গো তারা নে আমারে,,ফোক গান,0,0
bn_bangla_songs_3222,bn,ফুলে ফুলে      বন ফুলেলা,,নজরুলগীতি,0,0
bn_bangla_songs_2625,bn,মোর না মিটিতে আশা ভাঙিল খেলা,,নজরুলগীতি,0,0
bn_bangla_songs_7190,bn,প্রথম প্রেমের মত,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_1432,bn,প্ৰভু তোমায় ডাকি আমি হরিবল বলে,,ফোক গান,0,0
en_english_songs_151,en,Good Enough,Dodgy,,1,1
en_english_songs_455,en,One Thing At A Time,Morgan Wallen,,1,1
bn_bangla_songs_4164,bn,জাতি জীবন ধন কালা তোমরা আমারে যে বল সে বল কালিয়া গলার মালা,,ফোক গান,0,0
en_english_songs_130,en,Til I Hear It From You,Gin Blossoms,,1,1
en_english_songs_491,en,Religiously,Bailey Zimmerman,,1,1
bn_bangla_songs_7416,bn,নাই টেলিফোন নাইরে পিয়ন নাইরে টেলিগ্রাম,,আধুনিক বাংলা গান,0,0
en_english_songs_514,en,Never Felt So Alone,Labrinth,,1,1
bn_bangla_songs_6704,bn,ওগো আর তো কিছু নয়,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_2273,bn,কি শোভা করছে সাঁই রঙ-মহলে,,ফোক গান,0,0
en_english_songs_731,en,Outside (feat. Ellie Goulding),Calvin Harris,,1,1
bn_bangla_songs_5504,bn,চরণ ধরিতে দিয়ো গো আমারে,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_2232,bn,রং মহলে সিঁদ কাটে সদায়,,ফোক গান,0,0
en_english_songs_248,en,My Sister's Crown,Vesna,,1,1
bn_bangla_songs_2055,bn,ভবের খেলায় হেলায় দিন যায়,,ফোক গান,0,0
en_english_songs_774,en,Up (feat. Demi Lovato) - Wideboys Radio Mix,Olly Murs,,1,1
bn_bangla_songs_1760,bn,প্ৰেম সিন্ধু উথলিল অদ্বৈত হুঙ্কারে,,ফোক গান,0,0
bn_bangla_songs_3045,bn,কাহার তরে হায় নিশিদিন কাঁদে মন প্রাণ,,নজরুলগীতি,0,0
en_english_songs_348,en,Eyes Wide Shut,ILLENIUM,,1,1
en_english_songs_694,en,Wonderwall,Oasis,,1,1
bn_bangla_songs_4651,bn,শুধু কি আমার ভুল,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_6370,bn,ওরে    চিত্ররেখাডোরে বাঁধিল কে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_456,en,Thank God,Kane Brown,,1,1
bn_bangla_songs_1875,bn,হরে কৃষ্ণ রাম বলরে মন,,ফোক গান,0,0
en_english_songs_201,en,Unholy (feat. Kim Petras),Sam Smith,,1,1
en_english_songs_743,en,When the Beat Drops Out,Marlon Roudette,,1,1
bn_bangla_songs_5290,bn,আমি যখন তাঁর দুয়ারে ভিক্ষা নিতে যাই,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_7059,bn,আমি যাবো চলে,,আধুনিক বাংলা গান,0,0
en_english_songs_106,en,Where Do You Go,No Mercy,,1,1
bn_bangla_songs_6620,bn,আমারে করো তোমার বীণা,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_59,en,Here Comes The Sun - Remastered,The Beatles,,1,1
en_english_songs_298,en,Just Lose It,Eminem,,1,1
en_english_songs_164,en,Ella Baila Sola,Eslabon Armado,,1,1
bn_bangla_songs_1103,bn,না আসিয়া মনচোরা নিশি হইল ভোর,,ফোক গান,0,0
bn_bangla_songs_4736,bn,মুঠোফোন (করতলে চিহ্ন মেঘের স্বর),,আধুনিক বাংলা গান,0,0
bn_bangla_songs_6561,bn,আসা-যাওয়ার পথের ধারে গান গেয়ে মোর কেটেছে দিন,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_195,en,Angels Like You,Miley Cyrus,,1,1
bn_bangla_songs_5085,bn,বাহিরে বলে দূরে থাকুক,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_5703,bn,আকাশতলে দলে দলে মেঘ যে ডেকে যায়,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_783,en,The Hills,The Weeknd,,1,1
en_english_songs_286,en,Without Me,Eminem,,1,1
en_english_songs_135,en,Only You (feat. The Notorious B.I.G.) - Radio Mix,112,,1,1
en_english_songs_218,en,Fictional,Khloe Rose,,1,1
bn_bangla_songs_2819,bn,ফিরে ফিরে কেন তারই স্মৃতি,,নজরুলগীতি,0,0
bn_bangla_songs_5361,bn,বজ্রে তোমার বাজে বাঁশি,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_245,en,Solo,BLANKA,,1,1
bn_bangla_songs_2228,bn,যে জন দেখেছে অটল রূপের বিহার,,ফোক গান,0,0
en_english_songs_10,en,In the Ghetto,Elvis Presley,,1,1
bn_bangla_songs_4454,bn,ও কুহু কুহু কুহু ডাকে কোয়েলিয়া,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_6183,bn,ওরে    প্রজাপতি মায়া দিয়ে   কে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_478,en,Love You Anyway,Luke Combs,,1,1
bn_bangla_songs_5333,bn,তোমার পতাকা যারে দাও তারে বহিবারে দাও শকতি,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_719,en,Worth It (feat. Kid Ink),Fifth Harmony,,1,1
en_english_songs_581,en,Energy,Digga D,,1,1
en_english_songs_409,en,LosT,Bring Me The Horizon,,1,1
en_english_songs_206,en,Hey Mor,Ozuna,,1,1
en_english_songs_718,en,Someone New,Hozier,,1,1
bn_bangla_songs_5460,bn,নন্দক নন্দন কদম্বেরি তরুতলে,,ফোক গান,0,0
bn_bangla_songs_1754,bn,"যারে দেখলে জুড়ায় দুই আংখি, তাপিত অঙ্গ প্ৰাণপাখী",,ফোক গান,0,0
en_english_songs_86,en,Return of the Mack,Mark Morrison,,1,1
en_english_songs_144,en,Words,Boyzone,,1,1
en_english_songs_771,en,Don't Be so Hard on Yourself,Jess Glynne,,1,1
en_english_songs_265,en,The Real Slim Shady,Eminem,,1,1
en_english_songs_577,en,Maria Maria,TECH IT DEEP,,1,1
en_english_songs_274,en,Guns Blazing (feat. Dr. Dre & Sly Pyper),Eminem,,1,1
bn_bangla_songs_4785,bn,"সখা, সাধিতে সাধাতে কত সুখ",,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_4254,bn,না ভাঙ্গিল মান দেখি চতুর নাগর,,ফোক গান,0,0
en_english_songs_553,en,Boy's a Liar,PinkPantheress,,1,1
en_english_songs_212,en,Mockingbird,Eminem,,1,1
en_english_songs_786,en,Can't Feel My Face,The Weeknd,,1,1
bn_bangla_songs_6870,bn,কতটা পথ পেরোলে তবে পথিক বলা যায়,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_2395,bn,ফেরেব ছেড়ে কর ফকিরি,,ফোক গান,0,0
bn_bangla_songs_1577,bn,শুন গো সই ঐ বাজে গো বাঁশি,,ফোক গান,0,0
bn_bangla_songs_6813,bn,মোর গায়ের সীমানার (প্রতিধ্বনি শুনি),,আধুনিক বাংলা গান,0,0
en_english_songs_50,en,All You Need Is Love - Remastered,The Beatles,,1,1
bn_bangla_songs_6272,bn,তারে    কেমনে ধরিবে সখী যদি ধরা দিলে,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_4414,bn,ভাল করে তুমি চেয়ে দ্যাখো,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_2001,bn,জুড়াতে প্ৰাণের জ্বালা ডাকি তোমায় মহাপ্ৰাণে,,ফোক গান,0,0
en_english_songs_439,en,Sure Thing,Miguel,,1,1
en_english_songs_8,en,Hotel California - 2013 Remaster,Eagles,,1,1
en_english_songs_292,en,Forgot About Dre,Dr. Dre,,1,1
bn_bangla_songs_4160,bn,পিয়ার পিরীতি লাগি যোগিনী হৈনু,,ফোক গান,0,0
bn_bangla_songs_5137,bn,সবার মাঝারে তোমারে স্বীকার করিব হে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_269,en,Cleanin' Out My Closet,Eminem,,1,1
bn_bangla_songs_971,bn,কও রে পথিক ভাই তুমি নি দেখেছ আমার,,ফোক গান,0,0
en_english_songs_193,en,Acróstico,Shakira,,1,1
bn_bangla_songs_3987,bn,সাধন শরণ এ বড় কঠিন বড়ই বিষম দায়,,ফোক গান,0,0
bn_bangla_songs_3186,bn,মৃতের দেশে নেমে এল মাতৃনামের গঙ্গাধারা,,নজরুলগীতি,0,0
bn_bangla_songs_6201,bn,ওরে যেতে হবে আর দেরি নাই,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_624,en,Running Up That Hill (A Deal With God),Kate Bush,,1,1
bn_bangla_songs_4359,bn,"এসো হে কাঙালের বন্ধু, দেখা দেও আসিয়া",,ফোক গান,0,0
en_english_songs_486,en,Cowgirls (feat. ERNEST),Morgan Wallen,,1,1
bn_bangla_songs_2405,bn,"না পড়িলে দায়েমী নামাজ, সে কি রাজী হয়",,ফোক গান,0,0
bn_bangla_songs_3891,bn,ঠিক দুবছর আগে (হয়তো কোথাও),,আধুনিক বাংলা গান,0,0
bn_bangla_songs_4864,bn,"মলে গুরু প্রাপ্ত হবে, সে তো কথার কথা",,ফোক গান,0,0
en_english_songs_467,en,Just Wanna Rock,Lil Uzi Vert,,1,1
bn_bangla_songs_4249,bn,আপন বসন ঘুচায়ে তখন লেপয়ে কেশেতে মাটী,,ফোক গান,0,0
en_english_songs_237,en,Promise,Voyager,,1,1
bn_bangla_songs_4198,bn,কহে সুবদনী শুন গো সজনি দুঃখ কি বলিব আর,,ফোক গান,0,0
bn_bangla_songs_2074,bn,আমার জনম গেলো ভুলে ভুলে কইরা পিরিতি,,ফোক গান,0,0
bn_bangla_songs_2550,bn,সত্যম শিবম সুন্দরম হে তুমি,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_7509,bn,তোমার সুরের ধারা ঝরে যেথায় তারি পারে,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_182,bn,তুমি কই রইলে গো ওহে প্রাণ নীলা,,ফোক গান,0,0
en_english_songs_343,en,Sad in the Summer (feat. Lily Rose),Diplo,,1,1
bn_bangla_songs_7202,bn,শোনো ও বকুল,,আধুনিক বাংলা গান,0,0
en_english_songs_591,en,Real Back In Style,Potter Payper,,1,1
bn_bangla_songs_2340,bn,আদমে আহমদ এসে নবী নাম সে জানালে,,ফোক গান,0,0
en_english_songs_16,en,Smells Like Teen Spirit,Nirvana,,1,1
en_english_songs_176,en,BESO,ROSALÍA,,1,1
bn_bangla_songs_3881,bn,সারা জীবন তোমায় খুঁজে,,আধুনিক বাংলা গান,0,0
en_english_songs_110,en,How Bizarre,OMC,,1,1
bn_bangla_songs_334,bn,পুতুল খেলা কেউ দেখছনি খেলে পুতুল এক মহাজন,,ফোক গান,0,0
en_english_songs_373,en,Man Made A Bar (feat. Eric Church),Morgan Wallen,,1,1
bn_bangla_songs_3384,bn,দারুণ পিপাসায় মায়া-মরীচিকায়,,নজরুলগীতি,0,0
bn_bangla_songs_96,bn,আসিলাম ভবেতে বাধিলাম মায়াতে,,ফোক গান,0,0
en_english_songs_672,en,The Motto,Tiësto,,1,1
bn_bangla_songs_3754,bn,বুলবুলি নীরব নার্গিস বনে,,নজরুলগীতি,0,0
bn_bangla_songs_419,bn,তিন বেড়ের বাগানেতে ভ্রমর এসেছে,,ফোক গান,0,0
en_english_songs_656,en,Surface Pressure,Jessica Darrow,,1,1
bn_bangla_songs_2992,bn,কার	মঞ্জীর রিনিঝিনি বাজে,,নজরুলগীতি,0,0
bn_bangla_songs_6247,bn,তুমি   কোন্‌ কাননের ফুল,,রবীন্দ্রসঙ্গীত,0,0
bn_bangla_songs_1442,bn,কৃষ্ণ প্ৰেম সিন্ধু মাঝে থাক মইজে,,ফোক গান,0,0
en_english_songs_457,en,Thought You Should Know,Morgan Wallen,,1,1
bn_bangla_songs_775,bn,নাও বানাইল নাও বানাইল রে,,ফোক গান,0,0
bn_bangla_songs_7213,bn,আমার মা গো তোর চোখে কেন জলের ধারা,,দেশাত্মবোধক গান,0,0
en_english_songs_749,en,What I Did for Love (feat. Emeli Sandé),David Guetta,,1,1
en_english_songs_405,en,We Ride,Bryan Martin,,1,1
bn_bangla_songs_7701,bn,যদি গৌর চাঁদকে পাই,,ফোক গান,0,0
en_english_songs_383,en,Middle Ground,Maroon 5,,1,1
en_english_songs_628,en,Seventeen Going Under,Sam Fender,,1,1
en_english_songs_798,en,King,Years & Years,,1,1
en_english_songs_267,en,Is This Love ('09) (feat. 50 Cent),Eminem,,1,1
bn_bangla_songs_6809,bn,বাঁশী তুই বাজিস নারে,,ফোক গান,0,0
bn_bangla_songs_3504,bn,একে একে সব মেরেছিস জাতটা শুধু ছিল বাকি,,নজরুলগীতি,0,0
bn_bangla_songs_3527,bn,জান গা মানুষের করণ কিসে হয়,,ফোক গান,0,0
bn_bangla_songs_1258,bn,সজনি সই বল গো তোরা কই গেলে কোথায় পাই,,ফোক গান,0,0
en_english_songs_682,en,Shape of You,Ed Sheeran,,1,1
bn_bangla_songs_1236,bn,যে সুখে রাখিয়াছ প্ৰাণনাথে গো,,ফোক গান,0,0
bn_bangla_songs_5498,bn,যদি এ আমার হৃদয়দুয়ার,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_666,en,Overpass Graffiti,Ed Sheeran,,1,1
bn_bangla_songs_5131,bn,মোরে   বারে বারে ফিরালে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_82,en,California Love - Original Version,2Pac,,1,1
bn_bangla_songs_2827,bn,আজি গানে গানে ঢাকব আমার             গভীর অভিমান,,নজরুলগীতি,0,0
bn_bangla_songs_3282,bn,দুপুরবেলাতে একলা পথে,,নজরুলগীতি,0,0
bn_bangla_songs_2737,bn,এলে কি স্বপন-মায়া আবার আমায় গান গাওয়াতে,,নজরুলগীতি,0,0
en_english_songs_493,en,Fight The Feeling,Rod Wave,,1,1
en_english_songs_62,en,I Can't Stop Loving You,Ray Charles Orchestra,,1,1
bn_bangla_songs_2298,bn,ডুবে দেখ প্রেম-নদীর জলে,,ফোক গান,0,0
bn_bangla_songs_689,bn,বন্ধু তুমি জীবনের জীবন,,ফোক গান,0,0
en_english_songs_113,en,You Were Meant For Me,Jewel,,1,1
en_english_songs_61,en,Bad Moon Rising,Creedence Clearwater Revival,,1,1
en_english_songs_255,en,Canın Sağ Olsun,Semicenk,,1,1
bn_bangla_songs_5465,bn,ক্ষণভরি নহি রহ গুরুজন মাঝে,,ফোক গান,0,0
bn_bangla_songs_6009,bn,প্রেম এসেছিল নিঃশব্দচরণে,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_609,en,A Year Ago,James Arthur,,1,1
en_english_songs_207,en,La Bachata,Manuel Turizo,,1,1
bn_bangla_songs_1260,bn,সুবল বলনা রে আমি কি করি এখন শ্ৰী রাধার মাধুর্যগুণে,,ফোক গান,0,0
en_english_songs_68,en,Walk on By,Dionne Warwick,,1,1
bn_bangla_songs_483,bn,ভবে মানুষ বলে কারে,,ফোক গান,0,0
en_english_songs_254,en,Future Lover,Brunette,,1,1
bn_bangla_songs_4152,bn,নিশ্বাস ছাড়িতে না দেয় ঘরের গৃহিণী,,ফোক গান,0,0
en_english_songs_336,en,How I'm Feeling Now,Lewis Capaldi,,1,1
en_english_songs_331,en,Wish You The Best,Lewis Capaldi,,1,1
en_english_songs_693,en,Music For a Sushi Restaurant,Harry Styles,,1,1
bn_bangla_songs_2947,bn,যবে ভোরের কুন্দ-কলি মেলিবে আঁখি,,নজরুলগীতি,0,0
bn_bangla_songs_5118,bn,অমন    আড়াল দিয়ে লুকিয়ে গেলে চলবে না,,রবীন্দ্রসঙ্গীত,0,0
en_english_songs_795,en,Sorry,Justin Bieber,,1,1
bn_bangla_songs_202,bn,আমি শুধু আমার সুরে তোমারি গান গাই,,ফোক গান,0,0
bn_bangla_songs_7318,bn,সজনি কে কহ আওব মধাঈ (প্রতীক্ষমাণা),,ফোক গান,0,0
en_english_songs_659,en,BMW,Bad Boy Chiller Crew,,1,1
en_english_songs_103,en,All By Myself,Céline Dion,,1,1
en_english_songs_599,en,live more & love more,Cat Burns,,1,1
bn_bangla_songs_4064,bn,ছিছি দারূণ মানের লাগিয়া বন্ধুরে হারাইয়া ছিলাম,,ফোক গান,0,0
bn_bangla_songs_2210,bn,পারে লয়ে যাও আমায় অপার হয়ে বসে আছি ও হে দয়াময়,,ফোক গান,0,0
en_english_songs_729,en,Sax,Fleur East,,1,1
en_english_songs_277,en,The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,,1,1
en_english_songs_204,en,Starboy,The Weeknd,,1,1
en_english_songs_543,en,CUFF IT,Beyoncé,,1,1
bn_bangla_songs_2559,bn,কেউ নয় সাহেব বিবি নয় কেউ গোলাম ভাই,,আধুনিক বাংলা গান,0,0
bn_bangla_songs_4364,bn,যব তুঁহু লায়ল নব নব নেহ (বিরহপ্রবোধ),,ফোক গান,0,0
en_english_songs_47,en,Born to Run,Bruce Springsteen,,1,1
bn_bangla_songs_1599,bn,বাজায় বাঁশি কদমতলে নিগুড়ে ঘনাইয়া,,ফোক গান,0,0
bn_bangla_songs_2757,bn,ও সুজন বন্ধুরে আমার যাবার বেলায় নয়ন জলখানি,,ফোক গান,0,0
en_english_songs_168,en,Flowers,Miley Cyrus,,1,1
bn_bangla_songs_3648,bn,"কেঁদো না কেঁদো না, মাকে কে বলেছে কালো",,নজরুলগীতি,0,0
bn_bangla_songs_2194,bn,আজ আমার অন্তরে কি হল গো সই,,ফোক গান,0,0
bn_bangla_songs_1643,bn,কেনে আইলাম জলে গো সই কেনে আইলাম জলে,,ফোক গান,0,0
en_english_songs_617,en,10:35,Tiësto,,1,1
en_english_songs_354,en,Never Look Back,Tom Gregory,,1,1
en_english_songs_140,en,In My Bed - So So Def Mix,Dru Hill,,1,1
en_english_songs_142,en,One & One (feat. Maria Nayler),Robert Miles,,1,1
bn_bangla_songs_4532,bn,শ্রাবণের মেঘগুলো জড়ো হলো আকাশে,,আধুনিক বাংলা গান,0,0
en_english_songs_640,en,Easy On Me,Adele,,1,1
bn_bangla_songs_333,bn,"আল্লাহ চাই না চাই না ধন ও সম্পদ, আল্লাহ চাই না",,ফোক গান,0,0
en_english_songs_220,en,Carpe Diem,Joker Out,,1,1
bn_bangla_songs_1540,bn,সজনী বল গো তোরা বাঁশি বাজায় কে,,ফোক গান,0,0
bn_bangla_songs_3669,bn,সুরা ফাতেহা,,নজরুলগীতি,0,0
en_english_songs_307,en,Legacy,Eminem,,1,1
bn_bangla_songs_3119,bn,কেমনে কহি প্রিয়     কী ব্যথা প্রাণে বাজে,,নজরুলগীতি,0,0
bn_bangla_songs_7568,bn,নিরাকার ভাসছে রে এক ফুল,,ফোক গান,0,0
en_english_songs_53,en,You Really Got Me - Remastered,The Kinks,,1,1
en_english_songs_301,en,Crack A Bottle,Eminem,,1,1
bn_bangla_songs_5458,bn,পীন পয়োধর দুবরি গতা,,ফোক গান,0,0
bn_bangla_songs_2258,bn,আমি সেই চরণে দাসের যোগ্য নই,,ফোক গান,0,0
en_english_songs_422,en,Never Gonna Not Dance Again,P!nk,,1,1
bn_bangla_songs_598,bn,অন্তর-মন্দির মাঝে সুন্দর এলে এ কী সাজে,,আধুনিক বাংলা গান,0,0
en_english_songs_244,en,Perfume,NCT DOJAEJUNG,,1,1
bn_bangla_songs_507,bn,আরে ও ডালের কোকিল,,ফোক গান,0,0
en_english_songs_102,en,How Do U Want It (ft. K-Ci & JoJo),2Pac,,1,1
en_english_songs_418,en,How You Samba,Kris Kross Amsterdam,,1,1
en_english_songs_685,en,Coming for You (feat. A1 x J1),SwitchOTR,,1,1
en_english_songs_316,en,Bitch Please II,Eminem,,1,1
bn_bangla_songs_5091,bn,গুরু-শিষ্য এক আত্মা যদি হওয়া যায়,,ফোক গান,0,0
en_english_songs_678,en,Ferrari,James Hype,,1,1
en_english_songs_209,en,The Planet,BTS,,1,1
en_english_songs_616,en,Rhyme Dust,MK,,1,1
